player_id,season,alter,tore_pro_spiel,tore_abs,assists_pro_spiel,assists_abs,rote_karten_pro_spiel,gelbe_karten_pro_spiel,gelb_rote_karten_pro_spiel,rote_karten_abs,gelbe_karten_abs,gelb_rote_karten_abs,startelf_pro_spiel,startelf_abs,minuten_pro_spiel,minuten_abs,anzahl_spiele,team_tore_pro_spiel,team_tore_abs,team_gegentore_pro_spiel,team_gegentore_abs,siege_pro_spiel,unentschieden_pro_spiel,niederlagen_pro_spiel,siege_abs,unentschieden_abs,niederlagen_abs,prozent_1_liga,prozent_pl,ziel_rating_avg_naechste_saison,position_Abwehr,position_Defensives Mittelfeld,position_Hängende Spitze,position_Innenverteidiger,position_Linker Verteidiger,position_Linkes Mittelfeld,position_Linksaußen,position_Mittelfeld,position_Mittelstürmer,position_Offensives Mittelfeld,position_Rechter Verteidiger,position_Rechtes Mittelfeld,position_Rechtsaußen,position_Sturm,position_Torwart,position_Zentrales Mittelfeld
41751,2020,34.0,0.5,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,90.0,180,2,2.0,4,3.0,6,0.5,0.0,0.5,1,0,1,0.0,0.0,6.972222222222222,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43561,2020,35.0,0.2,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,74.0,740,10,1.7,17,1.2,12,0.5,0.1,0.4,5,1,4,0.0,100.0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
43955,2020,32.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,84.54545454545455,930,11,1.0,11,1.4545454545454546,16,0.2727272727272727,0.2727272727272727,0.45454545454545453,3,3,5,0.0,0.0,6.685714285714285,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44661,2020,32.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,89.6,448,5,1.8,9,1.8,9,0.2,0.2,0.6,1,1,3,0.0,100.0,6.922727272727273,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44661,2021,33.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,88.5909090909091,1949,22,2.0,44,1.3636363636363635,30,0.45454545454545453,0.36363636363636365,0.18181818181818182,10,8,4,0.0,0.0,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44661,2022,34.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,90.0,1800,20,1.1,22,1.3,26,0.3,0.25,0.45,6,5,9,0.0,0.0,7.084615384615384,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44857,2020,29.0,0.4,6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,89.8,1347,15,1.0666666666666667,16,1.3333333333333333,20,0.4666666666666667,0.2,0.3333333333333333,7,3,5,0.0,100.0,7.270370370370371,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44857,2021,30.0,0.48148148148148145,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,85.55555555555556,2310,27,1.4814814814814814,40,1.3333333333333333,36,0.4444444444444444,0.18518518518518517,0.37037037037037035,12,5,10,0.0,100.0,7.177777777777778,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44857,2022,31.0,0.2962962962962963,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,87.55555555555556,2364,27,1.4444444444444444,39,1.7037037037037037,46,0.2962962962962963,0.2962962962962963,0.4074074074074074,8,8,11,0.0,100.0,7.28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44857,2023,32.0,0.4666666666666667,14,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,83.43333333333334,2503,30,1.9,57,1.5666666666666667,47,0.4,0.16666666666666666,0.43333333333333335,12,5,13,0.0,100.0,6.913793103448276,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
